t_s,reward_t,episode_return,num_intersections,totalQ_list,avg_delay_list,accidents_list,num_accident_clusters,max_cluster_size
830.0,-4384.308468511314,-2708794.6298324834,4,327.5007;951.9947;910.2413;1204.7254,935.7164;2719.9848;2600.6895;3442.0726,1;1;1;1,0,0
831.0,-4395.468363060487,-2713190.098195544,4,328.8638;954.3181;913.0447;1206.9154,939.6109;2726.6232;2608.6992;3448.3297,1;1;1;1,0,0
832.0,-4406.629133517211,-2717596.7273290614,4,330.2269;956.6422;915.8480;1209.1056,943.5055;2733.2633;2616.7086;3454.5874,1;1;1;1,0,0
833.0,-4417.790774515415,-2722014.5181035767,4,331.5900;958.9668;918.6512;1211.2960,947.3999;2739.9052;2624.7176;3460.8456,1;1;1;1,0,0
834.0,-4428.953280736805,-2726443.4713843134,4,332.9530;961.2921;921.4542;1213.4866,951.2943;2746.5489;2632.7262;3467.1045,1;1;1;1,0,0
835.0,-4440.116646910308,-2730883.5880312235,4,334.3160;963.6180;924.2571;1215.6774,955.1887;2753.1943;2640.7345;3473.3639,1;1;1;1,0,0
836.0,-4451.280867811531,-2735334.8688990353,4,335.6791;965.9445;927.0598;1217.8684,959.0830;2759.8414;2648.7424;3479.6240,1;1;1;1,0,0
837.0,-4462.445938262224,-2739797.3148372974,4,337.0420;968.2716;929.8625;1220.0596,962.9773;2766.4903;2656.7499;3485.8846,1;1;1;1,0,0
838.0,-4473.611853129754,-2744270.926690427,4,338.4050;970.5993;932.6650;1222.2510,966.8715;2773.1408;2664.7571;3492.1458,1;1;1;1,0,0
839.0,-4484.778607326578,-2748755.7052977537,4,339.7680;972.9276;935.4674;1224.4427,970.7657;2779.7931;2672.7639;3498.4076,1;1;1;1,0,0
840.0,-4495.946195809736,-2753251.6514935633,4,341.1309;975.2565;938.2696;1226.6345,974.6598;2786.4470;2680.7703;3504.6699,1;1;1;1,0,0
841.0,-4507.114613580336,-2757758.766107144,4,342.4939;977.5859;941.0717;1228.8265,978.5539;2793.1027;2688.7764;3510.9329,1;1;1;1,0,0
842.0,-4518.2838556830575,-2762277.049962827,4,343.8568;979.9160;943.8737;1231.0187,982.4479;2799.7600;2696.7821;3517.1963,1;1;1;1,0,0
843.0,-4529.453917205666,-2766806.503880033,4,345.2197;982.2466;946.6756;1233.2111,986.3419;2806.4189;2704.7875;3523.4604,1;1;1;1,0,0
844.0,-4540.624793278512,-2771347.1286733113,4,346.5825;984.5778;949.4774;1235.4037,990.2358;2813.0795;2712.7925;3529.7250,1;1;1;1,0,0
845.0,-4551.796479074063,-2775898.9251523856,4,347.9454;986.9096;952.2790;1237.5966,994.1297;2819.7418;2720.7972;3535.9902,1;1;1;1,0,0
846.0,-4562.968969806429,-2780461.894122192,4,349.3083;989.2420;955.0805;1239.7896,998.0236;2826.4057;2728.8015;3542.2559,1;1;1;1,0,0
847.0,-4574.1422607308905,-2785036.036382923,4,350.6711;991.5749;957.8819;1241.9827,1001.9174;2833.0712;2736.8055;3548.5221,1;1;1;1,0,0
848.0,-4585.316347143444,-2789621.3527300665,4,352.0339;993.9084;960.6832;1244.1761,1005.8112;2839.7383;2744.8091;3554.7889,1;1;1;1,0,0
849.0,-4596.491224380344,-2794217.8439544467,4,353.3967;996.2425;963.4843;1246.3697,1009.7049;2846.4070;2752.8123;3561.0563,1;1;1;1,0,0
